1;f_DATOS_ENTRADA_TARIFA__C10;DATOS_ENTRADA_TARIFA__C10;0.33289690217391305;None;None;None;DATOS ENTRADA TARIFA!C100.33289690217391305
1;f_DATOS_ENTRADA_TARIFA__C9;DATOS_ENTRADA_TARIFA__C9;0.29689066489361704;None;None;None;DATOS ENTRADA TARIFA!C90.29689066489361704
1;f_1;DATOS_ENTRADA_TARIFA__C8;=0.002572+0.00056;{};[];{};DATOS ENTRADA TARIFA!C8=0.002572+0.00056
1;f_2;DATOS_ENTRADA_TARIFA__C7;=0.062982+0.008701;{};[];{};DATOS ENTRADA TARIFA!C7=0.062982+0.008701
1;f_DATOS_ENTRADA_TARIFA__B35;DATOS_ENTRADA_TARIFA__B35;1.005;None;None;None;DATOS ENTRADA TARIFA!B351.005
1;f_DATOS_ENTRADA_TARIFA__B34;DATOS_ENTRADA_TARIFA__B34;1.05;None;None;None;DATOS ENTRADA TARIFA!B341.05
mx_mdh;f_PVPC_Calculos__A4;PVPC_Calculos__A4;ENERO;None;None;None;PVPC Calculos!A4ENERO
mx_m;f_PVPC_Calculos__AY3;PVPC_Calculos__AY3;ENERO;None;None;None;PVPC Calculos!AY3ENERO
mx_747_1490;f_PVPC__E747;PVPC__E747;147.89;None;None;None;PVPC!E747147.89
1;f_DATOS_ENTRADA_TARIFA__E13;DATOS_ENTRADA_TARIFA__E13;0;None;None;None;DATOS ENTRADA TARIFA!E130
1;f_DATOS_ENTRADA_TARIFA__C26;DATOS_ENTRADA_TARIFA__C26;0.046622;None;None;None;DATOS ENTRADA TARIFA!C260.046622
1;f_DATOS_ENTRADA_TARIFA__C25;DATOS_ENTRADA_TARIFA__C25;0.009324;None;None;None;DATOS ENTRADA TARIFA!C250.009324
1;f_DATOS_ENTRADA_TARIFA__C24;DATOS_ENTRADA_TARIFA__C24;0.002331;None;None;None;DATOS ENTRADA TARIFA!C240.002331
mx_mdh;f_ENTRADA_CONSUMO__D4;ENTRADA_CONSUMO__D4;75.351925;None;None;None;ENTRADA CONSUMO!D475.351925
mx_mh;f_ENTRADA_RADIACION__B2;ENTRADA_RADIACION__B2;0;None;None;None;ENTRADA RADIACIÓN!B20
mx_h;f_SIMULADOR_COCHE_ELECTRICO__I13;SIMULADOR_COCHE_ELECTRICO__I13;0;None;None;None;SIMULADOR COCHE ELECTRICO!I130
mx_ds;f_SIMULADOR_COCHE_ELECTRICO__G9;SIMULADOR_COCHE_ELECTRICO__G9;1;None;None;None;SIMULADOR COCHE ELECTRICO!G91
mx_m;f_SIMULADOR_COCHE_ELECTRICO__C5;SIMULADOR_COCHE_ELECTRICO__C5;1;None;None;None;SIMULADOR COCHE ELECTRICO!C51
1;f_ENTRADA_CONSUMO_APROXIMADA__J1;ENTRADA_CONSUMO_APROXIMADA__J1;0;None;None;None;ENTRADA CONSUMO APROXIMADA!J10
mx_h;f_SIMULADOR_COCHE_ELECTRICO__I15;SIMULADOR_COCHE_ELECTRICO__I15;0;None;None;None;SIMULADOR COCHE ELECTRICO!I150
mx_3_746;f_PVPC__CT3;PVPC__CT3;106.77;None;None;None;PVPC!CT3106.77
1;f_DATOS_ENTRADA_TARIFA__B29;DATOS_ENTRADA_TARIFA__B29;1.28;None;None;None;DATOS ENTRADA TARIFA!B291.28
