*1;RESULTADO GENERACIONvsCONSUMO!K3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!Q$4:Q$8763)/1000;*
=mdh;PVPC Calculos!K4;=CALCULOS!Q4
*1;RESULTADO GENERACIONvsCONSUMO!L3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!R$4:R$8763)/1000;*
=mdh;PVPC Calculos!L4;=CALCULOS!R4
*1;RESULTADO GENERACIONvsCONSUMO!M3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!AC$4:AC$8763)/1000;*
*1;RESULTADO GENERACIONvsCONSUMO!R3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!W$4:W$8763)/1000;*
=mdh;PVPC Calculos!Q4;=CALCULOS!W4
*1;RESULTADO GENERACIONvsCONSUMO!S3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!X$4:X$8763)/1000;*
=mdh;PVPC Calculos!R4;=CALCULOS!X4
*1;RESULTADO GENERACIONvsCONSUMO!T3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!AG$4:AG$8763)/1000;*
1;DATOS ENTRADA TARIFA!B12;=IF(C12=1,0.02663,0)
=1;COSTES COMPAÑÍA ACTUAL!AK2;=DATOS ENTRADA TARIFA!$B$35
=1;LISTADO DE COMERCIALIZADORAS!AZ2;=DATOS ENTRADA TARIFA!$B$35
=1;CALCULOS!DG2;=DATOS ENTRADA TARIFA!$B$35
=1;COSTES COMPAÑÍA ACTUAL!AK1;=DATOS ENTRADA TARIFA!$B$34
=1;PVPC Calculos!CI30;=DATOS ENTRADA TARIFA!$B$34
=1;LISTADO DE COMERCIALIZADORAS!AZ1;=DATOS ENTRADA TARIFA!$B$34
=1;CALCULOS!DG1;=DATOS ENTRADA TARIFA!$B$34
*1;CALCULOS!DA4;=AVERAGE(PVPC!E747:E1490)/1000;*
1;DATOS ENTRADA TARIFA!B13;=IF(C13=0,1,IF(E13=1,0.75,0.4))
*1;DATOS ENTRADA TARIFA!B26;=SUM(C26:D26);*
*1;DATOS ENTRADA TARIFA!B25;=SUM(C25:D25);*
*1;DATOS ENTRADA TARIFA!B24;=SUM(C24:D24);*
=h;VALOR CONSUMO PARA CALCULOS!J12;=SIMULADOR COCHE ELECTRICO!$I$13
=ds;VALOR CONSUMO PARA CALCULOS!I12;=SIMULADOR COCHE ELECTRICO!$G$9
=ds;VALOR CONSUMO PARA CALCULOS!I14;=SIMULADOR COCHE ELECTRICO!$G$9
=ds;VALOR CONSUMO PARA CALCULOS!I4;=SIMULADOR COCHE ELECTRICO!$G$9
=m;VALOR CONSUMO PARA CALCULOS!H12;=SIMULADOR COCHE ELECTRICO!$C$5
=m;VALOR CONSUMO PARA CALCULOS!H14;=SIMULADOR COCHE ELECTRICO!$C$5
=m;VALOR CONSUMO PARA CALCULOS!H4;=SIMULADOR COCHE ELECTRICO!$C$5
=h;VALOR CONSUMO PARA CALCULOS!J14;=SIMULADOR COCHE ELECTRICO!$I$15
1;DATOS ENTRADA TARIFA!C29;=B29/365
1;DATOS ENTRADA TARIFA!C30;=B30/365
=h;VALOR CONSUMO PARA CALCULOS!J4;=SIMULADOR COCHE ELECTRICO!$I$5
1;SIMULADOR COCHE ELECTRICO!N19;=L20/100*L18
mdh;ENTRADA CONSUMO APROXIMADA!I12;=$M$1*PERFIL CONSUMO REE!M11*1000
mdh;ENTRADA CONSUMO APROXIMADA!I14;=$M$1*PERFIL CONSUMO REE!M13*1000
=3_746;PVPC Calculos!E4;=PVPC!E3
1;DATOS ENTRADA TARIFA!C20;=B20*365
1;DATOS ENTRADA TARIFA!C19;=B19*365
1;ENTRADA CONSUMO APROXIMADA!I4;=$M$1*PERFIL CONSUMO REE!M3*1000
1;DATOS ENTRADA PANELES!E2;=B2*B3/1000000
m;DATOS ENTRADA PANELES!C8;=B8*$B$4
=1;DATOS ENTRADA PANELES!C1;=LISTADO DE COMERCIALIZADORAS!M65
h;ENTRADA CONSUMO APROXIMADA!T13;=IF($M$3=3,S13,IF($M$3=2,S13*U13,IF($M$3=1,S13*V13,"")))
m;ENTRADA CONSUMO APROXIMADA!M5;=$M$1/366*K5
***tirar del hilo;ENTRADA CONSUMO APROXIMADA!T15;=IF($M$3=3,S15,IF($M$3=2,S15*U15,IF($M$3=1,S15*V15,"")))
h;ENTRADA CONSUMO APROXIMADA!T5;=IF($M$3=3,S5,IF($M$3=2,S5*U5,IF($M$3=1,S5*V5,"")))
1;DATOS ENTRADA TARIFA!I12;=IF(K7=0,I7,IF(K7=1,I8,IF(K7=2,I9,IF(K7=3,I10,IF(K7=4,I11,10000000000000)))))
=1;LISTADO DE COMERCIALIZADORAS!E2;=C2
=1;LISTADO DE COMERCIALIZADORAS!E3;=C3
*1;RESULTADO GENERACIONvsCONSUMO!G15;=SUM(G3:G14);*
*1;RESULTADO GENERACIONvsCONSUMO!H15;=SUM(H3:H14);*
*1;RESULTADO GENERACIONvsCONSUMO!K15;=SUM(K3:K14);*
*1;RESULTADO GENERACIONvsCONSUMO!L15;=SUM(L3:L14);*
*1;RESULTADO GENERACIONvsCONSUMO!M15;=SUM(M3:M14);*
*1;RESULTADO GENERACIONvsCONSUMO!R15;=SUM(R3:R14);*
*1;RESULTADO GENERACIONvsCONSUMO!S15;=SUM(S3:S14);*
*1;RESULTADO GENERACIONvsCONSUMO!T15;=SUM(T3:T14);*
1;LISTADO DE COMERCIALIZADORAS!E12;=DATOS ENTRADA TARIFA!$B$12+0.03053965
1;LISTADO DE COMERCIALIZADORAS!C12;=DATOS ENTRADA TARIFA!$B$12
1;LISTADO DE COMERCIALIZADORAS!G12;=DATOS ENTRADA TARIFA!$B$12*0.95
1;LISTADO DE COMERCIALIZADORAS!J12;=DATOS ENTRADA TARIFA!$B$12*1+2.89*12/365*1*0+0.03053965
1;DATOS ENTRADA TARIFA!B11;=IF($C$13=1,C11*$B$13,C11)
1;DATOS ENTRADA TARIFA!B10;=IF($C$13=1,C10*$B$13,C10)
1;DATOS ENTRADA TARIFA!B9;=IF($C$13=1,C9*$B$13,C9)
1;DATOS ENTRADA TARIFA!B8;=IF($C$13=1,C8*$B$13,C8)
1;DATOS ENTRADA TARIFA!B7;=IF($C$13=1,C7*$B$13,C7)
=1;PVPC Calculos!CI33;=DATOS ENTRADA TARIFA!B13
1;LISTADO DE COMERCIALIZADORAS!E15;=DATOS ENTRADA TARIFA!$B$26
1;PVPC Calculos!AC4;=L4*DATOS ENTRADA TARIFA!$B$26/1000
1;PVPC Calculos!AO4;=R4*DATOS ENTRADA TARIFA!$B$26/1000
1;LISTADO DE COMERCIALIZADORAS!E14;=DATOS ENTRADA TARIFA!$B$25
1;PVPC Calculos!AB4;=K4*DATOS ENTRADA TARIFA!$B$25/1000
1;PVPC Calculos!AN4;=Q4*DATOS ENTRADA TARIFA!$B$25/1000
1;LISTADO DE COMERCIALIZADORAS!E13;=DATOS ENTRADA TARIFA!$B$24
